,,,,,,,,,,,,,,,,,
Contactos,,,,,Clientes,,,,,Documentos,,,,,Siniestros,,
,,,,,DatDoctoDetail.CalculoSReg,Obra Civil  Calculo Sobre Reglamentos Oficiales  / Empresariales Primer Riesgo o Riesgos Epecificos,0/1,,,DatDocumentos.IDEjecutRec,Ejecutivo de Reclamo,Catalogo,,,FActivGest,F Activación gestoria,
,,,,,DatDoctoDetail.Giro,Empresarial  Giro,,,,DatDocumentos.FRevision,Revisado,,,,FEntregaExp,F. Entrega exp. Fisico gestría,
,,,,,DatDoctoDetail.Uso,Tipo de Uso (Equipo Contratistas)  / Pais de Cobertura Obj Per,,,,DatDocumentos.FCotizacion,Cotización Enviada,,,,IDNegocio,ID del Negocio,
,,,,,DatDoctoDetail.TipoContra,Tipo de Contratante,,,,DatDocumentos.UserReviso,Usuario que Reviso,Catalogo,,,IDIndemnizacion,ID forma de indemnización,
,,,,,DatDoctoDetail.CercaRio,Familiar Cercania a Rio,,,,DatDocumentos.UserCotizo,Usuario que Cotizo,Catalogo,,,REjecutCli,Ejecutivo cliente,
,,,,,DatDoctoDetail.CercaMar,Familiar Cercania a Mar,,,,DatDocumentos.PrimaAdic1,Adicional 1,,,,REjecutRCli,Ejecutivo reclamos cliente,
,,,,,DatDoctoDetail.Multiclausula,Familiar Multi Clausula,,,,DatDocumentos.PrimaAdic2,Adicional 2,,,,Deslinde,Deslinde,
,,,,,DatDoctoDetail.AnioC,Familiar Año de Construccion/Aviones Anio Fabricacion,,,,DatDocumentos.PrimaAdic3,Adicional 3,,,,EstatusActual,Estatus Actual,
,,,,,DatDoctoDetail.Azotea,Familiar Construccion en Azotea,Sí/No (1/0),,,DatDocumentos.PrimaAdic4,Adicional 4,,,,FingresoCDR,Fecha de ingreso del centro digital,
,,,,,DatDoctoDetail.Mercancia,Transportes Mercancia,,,,DatDocumentos.PrimaAdic5,Adicional 5,,,,FValuacion,Fecha de valuación,
,,,,,DatDoctoDetail.IDEmpaque,Transportes Empaque de la Mercancia,,,,DatDocumentos.PTotalAdic,P. Total C/Adicional,,,,FAutValuacion,Fecha de valuación,
,,,,,DatDoctoDetail.IDEmbalaje,Transportes Embalaje de la mercancia,,,,DatDocumentos.SubMotStatus,Sub Motivo,,,,Refacciones,Refacciones,
,,,,,DatDoctoDetail.IDTipoMerc,Transportes Tipo de Mercancia,,,,DatDocumentos.IDYo,Y/O,Catalogo / IDCont,,,FPromRefacciones,Fecha,
